name,rank,competition,event,scores
drews,19,OlympicG,long_jump,7.38
drews,19,OlympicG,x100m,10.87
drews,19,OlympicG,shot_put,13.07
drews,19,OlympicG,x400m,48.51
drews,19,OlympicG,points,7926
parkhomenko,20,OlympicG,long_jump,6.61
parkhomenko,20,OlympicG,x100m,11.14
parkhomenko,20,OlympicG,shot_put,15.69
parkhomenko,20,OlympicG,x400m,51.04
parkhomenko,20,OlympicG,points,7918
terek,21,OlympicG,long_jump,6.94
terek,21,OlympicG,x100m,10.92
terek,21,OlympicG,shot_put,15.15
terek,21,OlympicG,x400m,49.56
terek,21,OlympicG,points,7893
gomez,22,OlympicG,long_jump,7.26
gomez,22,OlympicG,x100m,11.08
gomez,22,OlympicG,shot_put,14.57
gomez,22,OlympicG,x400m,48.61
gomez,22,OlympicG,points,7865
turi,23,OlympicG,long_jump,6.91
turi,23,OlympicG,x100m,11.08
turi,23,OlympicG,shot_put,13.62
turi,23,OlympicG,x400m,51.67
turi,23,OlympicG,points,7708
lorenzo,24,OlympicG,long_jump,7.03
lorenzo,24,OlympicG,x100m,11.1
lorenzo,24,OlympicG,shot_put,13.22
lorenzo,24,OlympicG,x400m,49.34
lorenzo,24,OlympicG,points,7592
karlivans,25,OlympicG,long_jump,7.26
karlivans,25,OlympicG,x100m,11.33
karlivans,25,OlympicG,shot_put,13.3
karlivans,25,OlympicG,x400m,50.54
karlivans,25,OlympicG,points,7583
korkizoglou,26,OlympicG,long_jump,7.07
korkizoglou,26,OlympicG,x100m,10.86
korkizoglou,26,OlympicG,shot_put,14.81
korkizoglou,26,OlympicG,x400m,51.16
korkizoglou,26,OlympicG,points,7573
uldal,27,OlympicG,long_jump,6.99
uldal,27,OlympicG,x100m,11.23
uldal,27,OlympicG,shot_put,13.53
uldal,27,OlympicG,x400m,50.95
uldal,27,OlympicG,points,7495
casarsa,28,OlympicG,long_jump,6.68
casarsa,28,OlympicG,x100m,11.36
casarsa,28,OlympicG,shot_put,14.92
casarsa,28,OlympicG,x400m,53.2
casarsa,28,OlympicG,points,7404
